Id,UserId,StartTimeInSeconds,DurationInSeconds,DistanceInMeters,Steps,AverageSpeedInMetersPerSecond,AveragePaceInMinutesPerKilometer,TotalElevationGainInMeters,AverageHeartRateInBeatsPerMinute
15618,10040,1681850652,2450,8009.43,7288,3.269,5.098399,59.16455,145
15619,10040,1681942427,902,2424.19,2514,2.688,6.200397,6.0757446,114
15620,10040,1685657666,1203,4030.39,3460,3.351,4.9736395,2.909851,141
15621,10040,1685660560,74,422.72,232,5.746,2.9005685,,147
15623,1470,1686580942,6180,4339.28,5242,0.702,23.74169,377.04663,151
15630,10120,1685271675,5451,11379.52,15116,2.087,7.985945,972.7912,178
15632,10120,1685879880,3648,6649.84,9482,1.823,9.14244,231.4461,153
15634,8440,1686871190,1801,6856.92,5194,3.808,4.3767505,7.1588593,171
15635,9700,1686877439,1472,5020.11,4136,3.411,4.8861527,,
15638,10230,1683153694,82,410.52,252,4.992,3.3386753,3.4939957,140
15639,10230,1683240687,64,308.32,196,4.841,3.4428148,,142
15640,10230,1683240963,71,304.47,212,4.273,3.9004605,,147
15644,10230,1685485822,35,196.58,104,5.595,2.9788504,,139
15645,10230,1685485977,38,210.94,114,5.505,3.0275505,,146
15646,10230,1682116947,38,213.66,124,5.654,2.9477656,,169
15647,10230,1682461912,39,221.96,116,5.758,2.8945236,,129
15648,10230,1683154066,79,411.08,250,5.193,3.2094488,1.9940681,145
15649,10230,1683239082,524,839.75,990,1.602,10.403662,12.222652,137
15650,10230,1683239813,58,306.79,182,5.309,3.1393232,,128
15651,10230,1683240137,59,311.83,178,5.294,3.1482182,,126
15652,10230,1683240418,60,302.72,176,5.026,3.3160896,,118
15653,10230,1683584541,298,1012.59,876,3.398,4.9048457,5.920513,148
15654,10230,1685482218,2862,9208.45,8338,3.218,5.1792006,73.16895,173
15655,10230,1685485494,35,196.97,108,5.562,2.996524,,151
15656,10230,1681943097,977,2846.68,2754,2.914,5.719515,30.683128,151
15657,10230,1682116050,40,182.01,128,4.53,3.6791756,,161
15658,10230,1682116369,40,206.9,124,5.115,3.2583904,,158
15659,10230,1682116640,35,213.2,92,6.037,2.760753,,183
15660,10230,1682374225,86,411.79,262,4.805,3.468609,,131
15661,10230,1682460478,197,810.56,604,4.121,4.044326,7.4292145,153
15662,10230,1682460958,135,617.42,422,4.569,3.6477714,3.5253754,150
15663,10230,1682461404,83,417.65,240,5.02,3.320053,2.0657272,144
15664,10230,1683458017,50,242.83,166,4.844,3.4406826,,148
15665,10230,1683458361,43,205.74,116,4.782,3.485292,,139
15667,10230,1681941986,837,2082.22,2372,2.488,6.698821,19.220764,136
15668,10230,1682373005,96,394.67,282,4.127,4.038446,2.1860924,132
15669,10230,1682373290,91,398.21,268,4.371,3.8130102,2.1316414,124
15670,10230,1682373602,90,413.09,266,4.608,3.6168983,,133
15671,10230,1682373880,89,411.92,266,4.625,3.6036036,1.8382721,131
15674,10230,1683457133,44,246.97,142,5.61,2.9708853,,123
15675,10230,1683457414,38,212.89,116,5.643,2.9535117,,138
15676,10230,1682462377,16,101.93,22,6.313,2.640055,,121
15677,10230,1682547104,37,213.69,120,5.767,2.8900063,,98
15678,10230,1682547575,126,613.52,384,4.888,3.409711,3.2655299,126
15680,10230,1683585232,174,813.16,526,4.67,3.5688794,2.693188,149
15681,10230,1683585846,128,620.22,396,4.83,3.4506555,3.2626226,146
15682,10230,1683586528,80,400.63,248,5.022,3.318731,3.2053869,142
15684,10230,1684448971,18,17.16,20,0.98,17.006802,,116
